On the 0th level of the search tree
- Adding the 25 feature with accuracy: 0.9032
- Adding the 26 feature with accuracy: 0.9068
- Adding the 27 feature with accuracy: 0.9046
- Adding the 28 feature with accuracy: 0.906
- Adding the 29 feature with accuracy: 0.9012
- Adding the 30 feature with accuracy: 0.9096
- Adding the 31 feature with accuracy: 0.899
- Adding the 32 feature with accuracy: 0.9058
- Adding the 33 feature with accuracy: 0.9052
- Adding the 34 feature with accuracy: 0.9084
- Adding the 35 feature with accuracy: 0.8966
- Adding the 36 feature with accuracy: 0.9072
- Adding the 37 feature with accuracy: 0.9036
- Adding the 38 feature with accuracy: 0.8988
- Adding the 39 feature with accuracy: 0.9038
- Adding the 40 feature with accuracy: 0.9028
- Adding the 41 feature with accuracy: 0.909
- Adding the 42 feature with accuracy: 0.9088
- Adding the 43 feature with accuracy: 0.9068
- Adding the 44 feature with accuracy: 0.9024
- Adding the 45 feature with accuracy: 0.9002
- Adding the 47 feature with accuracy: 0.9072
- Adding the 48 feature with accuracy: 0.9056
- Adding the 49 feature with accuracy: 0.905
- Adding the 50 feature with accuracy: 0.9086

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 4, added feature 0 to current set. With current features: [9, 3, 45, 17, 0] and local maximum accuracy 0.914

On the 5th level of the search tree
- Adding the 2 feature with accuracy: 0.8742
- Adding the 3 feature with accuracy: 0.8744
- Adding the 5 feature with accuracy: 0.874
- Adding the 6 feature with accuracy: 0.8756
- Adding the 7 feature with accuracy: 0.8732
- Adding the 8 feature with accuracy: 0.8834
- Adding the 9 feature with accuracy: 0.8696
- Adding the 11 feature with accuracy: 0.8778
- Adding the 12 feature with accuracy: 0.8762
- Adding the 13 feature with accuracy: 0.8732
- Adding the 14 feature with accuracy: 0.8774
- Adding the 15 feature with accuracy: 0.8792
- Adding the 16 feature with accuracy: 0.8776
- Adding the 17 feature with accuracy: 0.871
- Adding the 19 feature with accuracy: 0.882
- Adding the 20 feature with accuracy: 0.8728
- Adding the 21 feature with accuracy: 0.8804
- Adding the 22 feature with accuracy: 0.8818
- Adding the 23 feature with accuracy: 0.8752
- Adding the 24 feature with accuracy: 0.8724
- Adding the 25 feature with accuracy: 0.8728
- Adding the 26 feature with accuracy: 0.8826
- Adding the 27 feature with accuracy: 0.8814
- Adding the 28 feature with accuracy: 0.8784
- Adding the 29 feature with accuracy: 0.87
- Adding the 30 feature with accuracy: 0.8724
- Adding the 31 feature with accuracy: 0.8732
- Adding the 32 feature with accuracy: 0.8826
- Adding the 33 feature with accuracy: 0.874
- Adding the 34 feature with accuracy: 0.8756
- Adding the 35 feature with accuracy: 0.873
- Adding the 36 feature with accuracy: 0.8712
- Adding the 37 feature with accuracy: 0.8812
- Adding the 38 feature with accuracy: 0.8784
- Adding the 39 feature with accuracy: 0.88
- Adding the 40 feature with accuracy: 0.8694
- Adding the 41 feature with accuracy: 0.8748
- Adding the 42 feature with accuracy: 0.8736
- Adding the 43 feature with accuracy: 0.873
- Adding the 44 feature with accuracy: 0.8756
- Adding the 45 feature with accuracy: 0.8744
- Adding the 47 feature with accuracy: 0.8816
- Adding the 48 feature with accuracy: 0.8706
- Adding the 49 feature with accuracy: 0.8776
- Adding the 50 feature with accuracy: 0.881

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 5, added feature 7 to current set. With current features: [9, 3, 45, 17, 0, 7] and local maximum accuracy 0.8834

On the 6th level of the search tree
- Adding the 2 feature with accuracy: 0.854
- Adding the 3 feature with accuracy: 0.8512
- Adding the 5 feature with accuracy: 0.8478
- Adding the 6 feature with accuracy: 0.8418
- Adding the 7 feature with accuracy: 0.8526
- Adding the 9 feature with accuracy: 0.8442
- Adding the 11 feature with accuracy: 0.855
- Adding the 12 feature with accuracy: 0.849
- Adding the 13 feature with accuracy: 0.8468
- Adding the 14 feature with accuracy: 0.8512
- Adding the 15 feature with accuracy: 0.85
- Adding the 16 feature with accuracy: 0.847
- Adding the 17 feature with accuracy: 0.8474
- Adding the 19 feature with accuracy: 0.8534
- Adding the 20 feature with accuracy: 0.8546
- Adding the 21 feature with accuracy: 0.851
- Adding the 22 feature with accuracy: 0.8622
- Adding the 23 feature with accuracy: 0.849
- Adding the 24 feature with accuracy: 0.8508
- Adding the 25 feature with accuracy: 0.848
- Adding the 26 feature with accuracy: 0.8456
- Adding the 27 feature with accuracy: 0.8538
- Adding the 28 feature with accuracy: 0.8494
- Adding the 29 feature with accuracy: 0.8482
- Adding the 30 feature with accuracy: 0.8448
- Adding the 31 feature with accuracy: 0.8464
- Adding the 32 feature with accuracy: 0.8534
- Adding the 33 feature with accuracy: 0.856
- Adding the 34 feature with accuracy: 0.8534
- Adding the 35 feature with accuracy: 0.8488
- Adding the 36 feature with accuracy: 0.8492
- Adding the 37 feature with accuracy: 0.8478
- Adding the 38 feature with accuracy: 0.8592
- Adding the 39 feature with accuracy: 0.8434
- Adding the 40 feature with accuracy: 0.844
- Adding the 41 feature with accuracy: 0.8452
- Adding the 42 feature with accuracy: 0.8462
- Adding the 43 feature with accuracy: 0.8532
- Adding the 44 feature with accuracy: 0.8436
- Adding the 45 feature with accuracy: 0.851
- Adding the 47 feature with accuracy: 0.8488
- Adding the 48 feature with accuracy: 0.846
- Adding the 49 feature with accuracy: 0.8508
- Adding the 50 feature with accuracy: 0.8434

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 6, added feature 21 to current set. With current features: [9, 3, 45, 17, 0, 7, 21] and local maximum accuracy 0.8622

On the 7th level of the search tree
- Adding the 2 feature with accuracy: 0.8288
- Adding the 3 feature with accuracy: 0.8242
- Adding the 5 feature with accuracy: 0.8238
- Adding the 6 feature with accuracy: 0.825
- Adding the 7 feature with accuracy: 0.835
- Adding the 9 feature with accuracy: 0.8236
- Adding the 11 feature with accuracy: 0.8278
- Adding the 12 feature with accuracy: 0.8284
- Adding the 13 feature with accuracy: 0.8292
- Adding the 14 feature with accuracy: 0.8282
- Adding the 15 feature with accuracy: 0.8314
- Adding the 16 feature with accuracy: 0.8314
- Adding the 17 feature with accuracy: 0.8314
- Adding the 19 feature with accuracy: 0.8282
- Adding the 20 feature with accuracy: 0.8286
- Adding the 21 feature with accuracy: 0.8278
- Adding the 23 feature with accuracy: 0.8292
- Adding the 24 feature with accuracy: 0.8316
- Adding the 25 feature with accuracy: 0.8218
- Adding the 26 feature with accuracy: 0.8332
- Adding the 27 feature with accuracy: 0.8334
- Adding the 28 feature with accuracy: 0.8256
- Adding the 29 feature with accuracy: 0.823
- Adding the 30 feature with accuracy: 0.827
- Adding the 31 feature with accuracy: 0.8246
- Adding the 32 feature with accuracy: 0.8292
- Adding the 33 feature with accuracy: 0.8364
- Adding the 34 feature with accuracy: 0.8304
- Adding the 35 feature with accuracy: 0.828
- Adding the 36 feature with accuracy: 0.8212
- Adding the 37 feature with accuracy: 0.8302
- Adding the 38 feature with accuracy: 0.8284
