On the 0th level of the search tree
**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 31, added feature 20 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20] and local maximum accuracy 0.7068

On the 32th level of the search tree
- Adding the 2 feature with accuracy: 0.693
- Adding the 7 feature with accuracy: 0.695
- Adding the 9 feature with accuracy: 0.69
- Adding the 13 feature with accuracy: 0.6994
- Adding the 14 feature with accuracy: 0.7022
- Adding the 15 feature with accuracy: 0.697
- Adding the 19 feature with accuracy: 0.706
- Adding the 25 feature with accuracy: 0.7026
- Adding the 28 feature with accuracy: 0.699
- Adding the 29 feature with accuracy: 0.6916
- Adding the 32 feature with accuracy: 0.6986
- Adding the 35 feature with accuracy: 0.703
- Adding the 36 feature with accuracy: 0.7044
- Adding the 41 feature with accuracy: 0.701
- Adding the 45 feature with accuracy: 0.6962
- Adding the 47 feature with accuracy: 0.7082
- Adding the 48 feature with accuracy: 0.6962
- Adding the 49 feature with accuracy: 0.7036

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 32, added feature 46 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46] and local maximum accuracy 0.7082

On the 33th level of the search tree
- Adding the 2 feature with accuracy: 0.6956
- Adding the 7 feature with accuracy: 0.6964
- Adding the 9 feature with accuracy: 0.6954
- Adding the 13 feature with accuracy: 0.698
- Adding the 14 feature with accuracy: 0.6988
- Adding the 15 feature with accuracy: 0.6966
- Adding the 19 feature with accuracy: 0.6984
- Adding the 25 feature with accuracy: 0.6968
- Adding the 28 feature with accuracy: 0.6992
- Adding the 29 feature with accuracy: 0.6898
- Adding the 32 feature with accuracy: 0.6976
- Adding the 35 feature with accuracy: 0.6988
- Adding the 36 feature with accuracy: 0.6998
- Adding the 41 feature with accuracy: 0.6916
- Adding the 45 feature with accuracy: 0.6968
- Adding the 48 feature with accuracy: 0.6918
- Adding the 49 feature with accuracy: 0.6952

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 33, added feature 35 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35] and local maximum accuracy 0.6998

On the 34th level of the search tree
- Adding the 2 feature with accuracy: 0.6984
- Adding the 7 feature with accuracy: 0.699
- Adding the 9 feature with accuracy: 0.6922
- Adding the 13 feature with accuracy: 0.694
- Adding the 14 feature with accuracy: 0.6862
- Adding the 15 feature with accuracy: 0.696
- Adding the 19 feature with accuracy: 0.6928
- Adding the 25 feature with accuracy: 0.6924
- Adding the 28 feature with accuracy: 0.6958
- Adding the 29 feature with accuracy: 0.6892
- Adding the 32 feature with accuracy: 0.694
- Adding the 35 feature with accuracy: 0.692
- Adding the 41 feature with accuracy: 0.687
- Adding the 45 feature with accuracy: 0.6938
- Adding the 48 feature with accuracy: 0.6848
- Adding the 49 feature with accuracy: 0.6914

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 34, added feature 6 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6] and local maximum accuracy 0.699

On the 35th level of the search tree
- Adding the 2 feature with accuracy: 0.693
- Adding the 9 feature with accuracy: 0.6906
- Adding the 13 feature with accuracy: 0.6896
- Adding the 14 feature with accuracy: 0.6874
- Adding the 15 feature with accuracy: 0.6908
- Adding the 19 feature with accuracy: 0.694
- Adding the 25 feature with accuracy: 0.699
- Adding the 28 feature with accuracy: 0.6874
- Adding the 29 feature with accuracy: 0.6956
- Adding the 32 feature with accuracy: 0.6906
- Adding the 35 feature with accuracy: 0.6852
- Adding the 41 feature with accuracy: 0.6832
- Adding the 45 feature with accuracy: 0.6894
- Adding the 48 feature with accuracy: 0.6864
- Adding the 49 feature with accuracy: 0.6892

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 35, added feature 24 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24] and local maximum accuracy 0.699

On the 36th level of the search tree
- Adding the 2 feature with accuracy: 0.6874
- Adding the 9 feature with accuracy: 0.6864
- Adding the 13 feature with accuracy: 0.684
- Adding the 14 feature with accuracy: 0.6886
- Adding the 15 feature with accuracy: 0.6856
- Adding the 19 feature with accuracy: 0.6894
- Adding the 28 feature with accuracy: 0.6898
- Adding the 29 feature with accuracy: 0.6898
- Adding the 32 feature with accuracy: 0.6852
- Adding the 35 feature with accuracy: 0.6846
- Adding the 41 feature with accuracy: 0.687
- Adding the 45 feature with accuracy: 0.6872
- Adding the 48 feature with accuracy: 0.6838
- Adding the 49 feature with accuracy: 0.6874

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 36, added feature 27 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27] and local maximum accuracy 0.6898

On the 37th level of the search tree
- Adding the 2 feature with accuracy: 0.6896
- Adding the 9 feature with accuracy: 0.6856
- Adding the 13 feature with accuracy: 0.6834
- Adding the 14 feature with accuracy: 0.6824
- Adding the 15 feature with accuracy: 0.6842
- Adding the 19 feature with accuracy: 0.6838
- Adding the 29 feature with accuracy: 0.6862
- Adding the 32 feature with accuracy: 0.6892
- Adding the 35 feature with accuracy: 0.6842
- Adding the 41 feature with accuracy: 0.689
- Adding the 45 feature with accuracy: 0.6792
- Adding the 48 feature with accuracy: 0.6742
- Adding the 49 feature with accuracy: 0.686

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 37, added feature 1 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1] and local maximum accuracy 0.6896

On the 38th level of the search tree
- Adding the 9 feature with accuracy: 0.6834
- Adding the 13 feature with accuracy: 0.6842
- Adding the 14 feature with accuracy: 0.6878
- Adding the 15 feature with accuracy: 0.6884
- Adding the 19 feature with accuracy: 0.6868
- Adding the 29 feature with accuracy: 0.684
- Adding the 32 feature with accuracy: 0.6844
- Adding the 35 feature with accuracy: 0.6828
- Adding the 41 feature with accuracy: 0.683
- Adding the 45 feature with accuracy: 0.6776
- Adding the 48 feature with accuracy: 0.676
- Adding the 49 feature with accuracy: 0.6876

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 38, added feature 14 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14] and local maximum accuracy 0.6884

On the 39th level of the search tree
- Adding the 9 feature with accuracy: 0.6844
- Adding the 13 feature with accuracy: 0.682
- Adding the 14 feature with accuracy: 0.682
- Adding the 19 feature with accuracy: 0.6862
- Adding the 29 feature with accuracy: 0.6822
- Adding the 32 feature with accuracy: 0.6842
- Adding the 35 feature with accuracy: 0.684
- Adding the 41 feature with accuracy: 0.6804
- Adding the 45 feature with accuracy: 0.685
- Adding the 48 feature with accuracy: 0.6766
- Adding the 49 feature with accuracy: 0.6844

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 39, added feature 18 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18] and local maximum accuracy 0.6862

On the 40th level of the search tree
- Adding the 9 feature with accuracy: 0.674
- Adding the 13 feature with accuracy: 0.6822
- Adding the 14 feature with accuracy: 0.6826
- Adding the 29 feature with accuracy: 0.6822
- Adding the 32 feature with accuracy: 0.683
- Adding the 35 feature with accuracy: 0.6816
- Adding the 41 feature with accuracy: 0.6838
- Adding the 45 feature with accuracy: 0.686
- Adding the 48 feature with accuracy: 0.677
- Adding the 49 feature with accuracy: 0.6784

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 40, added feature 44 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44] and local maximum accuracy 0.686

On the 41th level of the search tree
- Adding the 9 feature with accuracy: 0.6782
- Adding the 13 feature with accuracy: 0.682
- Adding the 14 feature with accuracy: 0.6768
- Adding the 29 feature with accuracy: 0.684
- Adding the 32 feature with accuracy: 0.6802
- Adding the 35 feature with accuracy: 0.6802
- Adding the 41 feature with accuracy: 0.676
- Adding the 48 feature with accuracy: 0.6716
- Adding the 49 feature with accuracy: 0.68

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 41, added feature 28 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28] and local maximum accuracy 0.684

On the 42th level of the search tree
- Adding the 9 feature with accuracy: 0.682
- Adding the 13 feature with accuracy: 0.6848
- Adding the 14 feature with accuracy: 0.6832
- Adding the 32 feature with accuracy: 0.677
- Adding the 35 feature with accuracy: 0.6816
- Adding the 41 feature with accuracy: 0.6734
- Adding the 48 feature with accuracy: 0.676
- Adding the 49 feature with accuracy: 0.6844

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 42, added feature 12 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28, 12] and local maximum accuracy 0.6848

On the 43th level of the search tree
- Adding the 9 feature with accuracy: 0.677
- Adding the 14 feature with accuracy: 0.6784
- Adding the 32 feature with accuracy: 0.6802
- Adding the 35 feature with accuracy: 0.6772
- Adding the 41 feature with accuracy: 0.6744
- Adding the 48 feature with accuracy: 0.6742
- Adding the 49 feature with accuracy: 0.6792

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 43, added feature 31 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28, 12, 31] and local maximum accuracy 0.6802

On the 44th level of the search tree
- Adding the 9 feature with accuracy: 0.6688
- Adding the 14 feature with accuracy: 0.6672
- Adding the 35 feature with accuracy: 0.677
- Adding the 41 feature with accuracy: 0.674
- Adding the 48 feature with accuracy: 0.6738
- Adding the 49 feature with accuracy: 0.6772

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 44, added feature 48 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28, 12, 31, 48] and local maximum accuracy 0.6772

On the 45th level of the search tree
- Adding the 9 feature with accuracy: 0.672
- Adding the 14 feature with accuracy: 0.6704
- Adding the 35 feature with accuracy: 0.6758
- Adding the 41 feature with accuracy: 0.6686
- Adding the 48 feature with accuracy: 0.6736

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 45, added feature 34 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28, 12, 31, 48, 34] and local maximum accuracy 0.6758

On the 46th level of the search tree
- Adding the 9 feature with accuracy: 0.6726
- Adding the 14 feature with accuracy: 0.6652
- Adding the 41 feature with accuracy: 0.672
- Adding the 48 feature with accuracy: 0.6784

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 46, added feature 47 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28, 12, 31, 48, 34, 47] and local maximum accuracy 0.6784

On the 47th level of the search tree
- Adding the 9 feature with accuracy: 0.6716
- Adding the 14 feature with accuracy: 0.67
- Adding the 41 feature with accuracy: 0.6726

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 47, added feature 40 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28, 12, 31, 48, 34, 47, 40] and local maximum accuracy 0.6726

On the 48th level of the search tree
- Adding the 9 feature with accuracy: 0.668
- Adding the 14 feature with accuracy: 0.6686

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 48, added feature 13 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28, 12, 31, 48, 34, 47, 40, 13] and local maximum accuracy 0.6686

On the 49th level of the search tree
- Adding the 9 feature with accuracy: 0.6644

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 49, added feature 8 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23, 36, 43, 39, 30, 33, 11, 19, 37, 5, 4, 15, 29, 49, 10, 22, 41, 25, 26, 20, 46, 35, 6, 24, 27, 1, 14, 18, 44, 28, 12, 31, 48, 34, 47, 40, 13, 8] and local maximum accuracy 0.6644



Finished. The best subset is [9, 3] (indexes) [10, 4] (features), which has an accuracy of 0.977
